;index;Longitude;Latitude;Data;Temperatura_Verif
0;0;-42.75;-14.25;2017-01-01 00:00:00;22.192
1;1;-42.75;-14.25;2017-01-01 01:00:00;18.516
2;2;-42.75;-14.25;2017-01-01 02:00:00;17.633
3;3;-42.75;-14.25;2017-01-01 03:00:00;16.916
4;4;-42.75;-14.25;2017-01-01 04:00:00;16.483
5;5;-42.75;-14.25;2017-01-01 05:00:00;15.984
6;6;-42.75;-14.25;2017-01-01 06:00:00;15.8
7;7;-42.75;-14.25;2017-01-01 07:00:00;16.584
8;8;-42.75;-14.25;2017-01-01 08:00:00;17.933
9;9;-42.75;-14.25;2017-01-01 09:00:00;19.05
10;10;-42.75;-14.25;2017-01-01 10:00:00;20.434
11;11;-42.75;-14.25;2017-01-01 11:00:00;21.75
12;12;-42.75;-14.25;2017-01-01 12:00:00;23.083
13;13;-42.75;-14.25;2017-01-01 13:00:00;24.416
14;14;-42.75;-14.25;2017-01-01 14:00:00;25.3
15;15;-42.75;-14.25;2017-01-01 15:00:00;25.984
16;16;-42.75;-14.25;2017-01-01 16:00:00;26.666
17;17;-42.75;-14.25;2017-01-01 17:00:00;26.316
18;18;-42.75;-14.25;2017-01-01 18:00:00;25.817
19;19;-42.75;-14.25;2017-01-01 19:00:00;25.417
20;20;-42.75;-14.25;2017-01-01 20:00:00;25.716
21;21;-42.75;-14.25;2017-01-01 21:00:00;25.717
22;22;-42.75;-14.25;2017-01-01 22:00:00;24.65
23;23;-42.75;-14.25;2017-01-01 23:00:00;21.966
24;24;-42.75;-14.25;2017-01-02 00:00:00;20.984
25;25;-42.75;-14.25;2017-01-02 01:00:00;20.05
26;26;-42.75;-14.25;2017-01-02 02:00:00;18.8
27;27;-42.75;-14.25;2017-01-02 03:00:00;18.116
28;28;-42.75;-14.25;2017-01-02 04:00:00;17.484
29;29;-42.75;-14.25;2017-01-02 05:00:00;17.183
30;30;-42.75;-14.25;2017-01-02 06:00:00;17.15
31;31;-42.75;-14.25;2017-01-02 07:00:00;17.5
32;32;-42.75;-14.25;2017-01-02 08:00:00;18.617
33;33;-42.75;-14.25;2017-01-02 09:00:00;21.034
34;34;-42.75;-14.25;2017-01-02 10:00:00;22.733
35;35;-42.75;-14.25;2017-01-02 11:00:00;24.1
36;36;-42.75;-14.25;2017-01-02 12:00:00;25.383
37;37;-42.75;-14.25;2017-01-02 13:00:00;26.584
38;38;-42.75;-14.25;2017-01-02 14:00:00;27.684
39;39;-42.75;-14.25;2017-01-02 15:00:00;28.184
40;40;-42.75;-14.25;2017-01-02 16:00:00;28.617
41;41;-42.75;-14.25;2017-01-02 17:00:00;28.917
42;42;-42.75;-14.25;2017-01-02 18:00:00;27.566
43;43;-42.75;-14.25;2017-01-02 19:00:00;27.267
44;44;-42.75;-14.25;2017-01-02 20:00:00;27.284
45;45;-42.75;-14.25;2017-01-02 21:00:00;26.883
46;46;-42.75;-14.25;2017-01-02 22:00:00;25.55
47;47;-42.75;-14.25;2017-01-02 23:00:00;22.916
48;48;-42.75;-14.25;2017-01-03 00:00:00;22.217
49;49;-42.75;-14.25;2017-01-03 01:00:00;21.4
50;50;-42.75;-14.25;2017-01-03 02:00:00;20.6
51;51;-42.75;-14.25;2017-01-03 03:00:00;19.334
52;52;-42.75;-14.25;2017-01-03 04:00:00;18.8
53;53;-42.75;-14.25;2017-01-03 05:00:00;20.867
54;54;-42.75;-14.25;2017-01-03 06:00:00;21.534
55;55;-42.75;-14.25;2017-01-03 07:00:00;21.45
56;56;-42.75;-14.25;2017-01-03 08:00:00;21.867
57;57;-42.75;-14.25;2017-01-03 09:00:00;22.8
58;58;-42.75;-14.25;2017-01-03 10:00:00;23.867
59;59;-42.75;-14.25;2017-01-03 11:00:00;25.05
60;60;-42.75;-14.25;2017-01-03 12:00:00;26.316
61;61;-42.75;-14.25;2017-01-03 13:00:00;27.283
62;62;-42.75;-14.25;2017-01-03 14:00:00;28.167
63;63;-42.75;-14.25;2017-01-03 15:00:00;28.733
64;64;-42.75;-14.25;2017-01-03 16:00:00;28.484
65;65;-42.75;-14.25;2017-01-03 17:00:00;28.084
66;66;-42.75;-14.25;2017-01-03 18:00:00;27.367
67;67;-42.75;-14.25;2017-01-03 19:00:00;26.95
68;68;-42.75;-14.25;2017-01-03 20:00:00;26.416
69;69;-42.75;-14.25;2017-01-03 21:00:00;24.716
70;70;-42.75;-14.25;2017-01-03 22:00:00;23.684
71;71;-42.75;-14.25;2017-01-03 23:00:00;22.95
72;72;-42.75;-14.25;2017-01-04 00:00:00;21.883
73;73;-42.75;-14.25;2017-01-04 01:00:00;20.75
74;74;-42.75;-14.25;2017-01-04 02:00:00;19.666
75;75;-42.75;-14.25;2017-01-04 03:00:00;18.816
76;76;-42.75;-14.25;2017-01-04 04:00:00;18.1
77;77;-42.75;-14.25;2017-01-04 05:00:00;17.534
78;78;-42.75;-14.25;2017-01-04 06:00:00;17.284
79;79;-42.75;-14.25;2017-01-04 07:00:00;17.133
80;80;-42.75;-14.25;2017-01-04 08:00:00;17.684
81;81;-42.75;-14.25;2017-01-04 09:00:00;19.467
82;82;-42.75;-14.25;2017-01-04 10:00:00;20.984
83;83;-42.75;-14.25;2017-01-04 11:00:00;22.016
84;84;-42.75;-14.25;2017-01-04 12:00:00;23.034
85;85;-42.75;-14.25;2017-01-04 13:00:00;24.016
86;86;-42.75;-14.25;2017-01-04 14:00:00;23.234
87;87;-42.75;-14.25;2017-01-04 15:00:00;24.583
88;88;-42.75;-14.25;2017-01-04 16:00:00;25.784
89;89;-42.75;-14.25;2017-01-04 17:00:00;25.6
90;90;-42.75;-14.25;2017-01-04 18:00:00;24.5
91;91;-42.75;-14.25;2017-01-04 19:00:00;23.883
92;92;-42.75;-14.25;2017-01-04 20:00:00;23.617
93;93;-42.75;-14.25;2017-01-04 21:00:00;23.6
94;94;-42.75;-14.25;2017-01-04 22:00:00;23.684
95;95;-42.75;-14.25;2017-01-04 23:00:00;22.8
96;96;-42.75;-14.25;2017-01-05 00:00:00;20.684
97;97;-42.75;-14.25;2017-01-05 01:00:00;19.766
98;98;-42.75;-14.25;2017-01-05 02:00:00;18.716
99;99;-42.75;-14.25;2017-01-05 03:00:00;17.933
100;100;-42.75;-14.25;2017-01-05 04:00:00;17.3
101;101;-42.75;-14.25;2017-01-05 05:00:00;16.434
102;102;-42.75;-14.25;2017-01-05 06:00:00;16.05
103;103;-42.75;-14.25;2017-01-05 07:00:00;16.85
104;104;-42.75;-14.25;2017-01-05 08:00:00;18.066
105;105;-42.75;-14.25;2017-01-05 09:00:00;19.716
106;106;-42.75;-14.25;2017-01-05 10:00:00;21.35
107;107;-42.75;-14.25;2017-01-05 11:00:00;23.05
108;108;-42.75;-14.25;2017-01-05 12:00:00;24.25
109;109;-42.75;-14.25;2017-01-05 13:00:00;25.5
110;110;-42.75;-14.25;2017-01-05 14:00:00;26.55
111;111;-42.75;-14.25;2017-01-05 15:00:00;26.766
112;112;-42.75;-14.25;2017-01-05 16:00:00;27.117
113;113;-42.75;-14.25;2017-01-05 17:00:00;27.1
114;114;-42.75;-14.25;2017-01-05 18:00:00;26.383
115;115;-42.75;-14.25;2017-01-05 19:00:00;26.067
116;116;-42.75;-14.25;2017-01-05 20:00:00;25.983
117;117;-42.75;-14.25;2017-01-05 21:00:00;24.734
118;118;-42.75;-14.25;2017-01-05 22:00:00;22.683
119;119;-42.75;-14.25;2017-01-05 23:00:00;21.466
120;120;-42.75;-14.25;2017-01-06 00:00:00;20.717
121;121;-42.75;-14.25;2017-01-06 01:00:00;19.85
122;122;-42.75;-14.25;2017-01-06 02:00:00;18.25
123;123;-42.75;-14.25;2017-01-06 03:00:00;17.416
124;124;-42.75;-14.25;2017-01-06 04:00:00;16.7
125;125;-42.75;-14.25;2017-01-06 05:00:00;16.216
126;126;-42.75;-14.25;2017-01-06 06:00:00;16.0
127;127;-42.75;-14.25;2017-01-06 07:00:00;16.266
128;128;-42.75;-14.25;2017-01-06 08:00:00;17.4
129;129;-42.75;-14.25;2017-01-06 09:00:00;19.033
130;130;-42.75;-14.25;2017-01-06 10:00:00;20.4
131;131;-42.75;-14.25;2017-01-06 11:00:00;21.9
132;132;-42.75;-14.25;2017-01-06 12:00:00;23.15
133;133;-42.75;-14.25;2017-01-06 13:00:00;24.05
134;134;-42.75;-14.25;2017-01-06 14:00:00;24.867
135;135;-42.75;-14.25;2017-01-06 15:00:00;25.45
136;136;-42.75;-14.25;2017-01-06 16:00:00;25.383
137;137;-42.75;-14.25;2017-01-06 17:00:00;24.816
138;138;-42.75;-14.25;2017-01-06 18:00:00;24.45
139;139;-42.75;-14.25;2017-01-06 19:00:00;23.617
140;140;-42.75;-14.25;2017-01-06 20:00:00;23.084
141;141;-42.75;-14.25;2017-01-06 21:00:00;22.316
142;142;-42.75;-14.25;2017-01-06 22:00:00;21.534
143;143;-42.75;-14.25;2017-01-06 23:00:00;20.4
144;144;-42.75;-14.25;2017-01-07 00:00:00;19.15
145;145;-42.75;-14.25;2017-01-07 01:00:00;18.684
146;146;-42.75;-14.25;2017-01-07 02:00:00;18.166
147;147;-42.75;-14.25;2017-01-07 03:00:00;17.484
148;148;-42.75;-14.25;2017-01-07 04:00:00;16.584
149;149;-42.75;-14.25;2017-01-07 05:00:00;15.917
150;150;-42.75;-14.25;2017-01-07 06:00:00;15.516
151;151;-42.75;-14.25;2017-01-07 07:00:00;16.35
152;152;-42.75;-14.25;2017-01-07 08:00:00;17.584
153;153;-42.75;-14.25;2017-01-07 09:00:00;18.966
154;154;-42.75;-14.25;2017-01-07 10:00:00;20.1
155;155;-42.75;-14.25;2017-01-07 11:00:00;21.45
156;156;-42.75;-14.25;2017-01-07 12:00:00;23.084
157;157;-42.75;-14.25;2017-01-07 13:00:00;24.467
158;158;-42.75;-14.25;2017-01-07 14:00:00;25.333
159;159;-42.75;-14.25;2017-01-07 15:00:00;26.05
160;160;-42.75;-14.25;2017-01-07 16:00:00;26.184
161;161;-42.75;-14.25;2017-01-07 17:00:00;25.883
162;162;-42.75;-14.25;2017-01-07 18:00:00;25.216
163;163;-42.75;-14.25;2017-01-07 19:00:00;24.3
164;164;-42.75;-14.25;2017-01-07 20:00:00;23.05
165;165;-42.75;-14.25;2017-01-07 21:00:00;21.7
166;166;-42.75;-14.25;2017-01-07 22:00:00;20.534
167;167;-42.75;-14.25;2017-01-07 23:00:00;19.3
168;168;-42.75;-14.25;2017-01-08 00:00:00;18.55
169;169;-42.75;-14.25;2017-01-08 01:00:00;18.017
170;170;-42.75;-14.25;2017-01-08 02:00:00;17.2
171;171;-42.75;-14.25;2017-01-08 03:00:00;16.85
172;172;-42.75;-14.25;2017-01-08 04:00:00;16.434
173;173;-42.75;-14.25;2017-01-08 05:00:00;15.8
174;174;-42.75;-14.25;2017-01-08 06:00:00;15.734
175;175;-42.75;-14.25;2017-01-08 07:00:00;16.8
176;176;-42.75;-14.25;2017-01-08 08:00:00;17.784
177;177;-42.75;-14.25;2017-01-08 09:00:00;18.966
178;178;-42.75;-14.25;2017-01-08 10:00:00;20.117
179;179;-42.75;-14.25;2017-01-08 11:00:00;21.534
180;180;-42.75;-14.25;2017-01-08 12:00:00;22.666
181;181;-42.75;-14.25;2017-01-08 13:00:00;23.666
182;182;-42.75;-14.25;2017-01-08 14:00:00;24.6
183;183;-42.75;-14.25;2017-01-08 15:00:00;24.966
184;184;-42.75;-14.25;2017-01-08 16:00:00;25.216
185;185;-42.75;-14.25;2017-01-08 17:00:00;25.117
186;186;-42.75;-14.25;2017-01-08 18:00:00;24.333
187;187;-42.75;-14.25;2017-01-08 19:00:00;23.883
188;188;-42.75;-14.25;2017-01-08 20:00:00;23.166
189;189;-42.75;-14.25;2017-01-08 21:00:00;21.883
190;190;-42.75;-14.25;2017-01-08 22:00:00;20.3
191;191;-42.75;-14.25;2017-01-08 23:00:00;19.284
192;192;-42.75;-14.25;2017-01-09 00:00:00;18.4
193;193;-42.75;-14.25;2017-01-09 01:00:00;17.784
194;194;-42.75;-14.25;2017-01-09 02:00:00;17.35
195;195;-42.75;-14.25;2017-01-09 03:00:00;17.0
196;196;-42.75;-14.25;2017-01-09 04:00:00;16.784
197;197;-42.75;-14.25;2017-01-09 05:00:00;16.583
198;198;-42.75;-14.25;2017-01-09 06:00:00;16.466
199;199;-42.75;-14.25;2017-01-09 07:00:00;16.733
200;200;-42.75;-14.25;2017-01-09 08:00:00;18.1
201;201;-42.75;-14.25;2017-01-09 09:00:00;19.334
202;202;-42.75;-14.25;2017-01-09 10:00:00;20.95
203;203;-42.75;-14.25;2017-01-09 11:00:00;22.566
204;204;-42.75;-14.25;2017-01-09 12:00:00;24.133
205;205;-42.75;-14.25;2017-01-09 13:00:00;25.716
206;206;-42.75;-14.25;2017-01-09 14:00:00;26.434
207;207;-42.75;-14.25;2017-01-09 15:00:00;26.834
208;208;-42.75;-14.25;2017-01-09 16:00:00;27.0
209;209;-42.75;-14.25;2017-01-09 17:00:00;26.95
210;210;-42.75;-14.25;2017-01-09 18:00:00;26.2
211;211;-42.75;-14.25;2017-01-09 19:00:00;26.05
212;212;-42.75;-14.25;2017-01-09 20:00:00;25.95
213;213;-42.75;-14.25;2017-01-09 21:00:00;25.883
214;214;-42.75;-14.25;2017-01-09 22:00:00;25.484
215;215;-42.75;-14.25;2017-01-09 23:00:00;22.6
216;216;-42.75;-14.25;2017-01-10 00:00:00;20.75
217;217;-42.75;-14.25;2017-01-10 01:00:00;19.334
218;218;-42.75;-14.25;2017-01-10 02:00:00;18.234
219;219;-42.75;-14.25;2017-01-10 03:00:00;17.4
220;220;-42.75;-14.25;2017-01-10 04:00:00;16.784
221;221;-42.75;-14.25;2017-01-10 05:00:00;16.233
222;222;-42.75;-14.25;2017-01-10 06:00:00;15.8
223;223;-42.75;-14.25;2017-01-10 07:00:00;16.95
224;224;-42.75;-14.25;2017-01-10 08:00:00;18.867
225;225;-42.75;-14.25;2017-01-10 09:00:00;20.45
226;226;-42.75;-14.25;2017-01-10 10:00:00;21.8
227;227;-42.75;-14.25;2017-01-10 11:00:00;23.834
228;228;-42.75;-14.25;2017-01-10 12:00:00;25.7
229;229;-42.75;-14.25;2017-01-10 13:00:00;27.3
230;230;-42.75;-14.25;2017-01-10 14:00:00;27.816
231;231;-42.75;-14.25;2017-01-10 15:00:00;28.35
232;232;-42.75;-14.25;2017-01-10 16:00:00;28.883
233;233;-42.75;-14.25;2017-01-10 17:00:00;28.966
234;234;-42.75;-14.25;2017-01-10 18:00:00;28.417
235;235;-42.75;-14.25;2017-01-10 19:00:00;27.65
236;236;-42.75;-14.25;2017-01-10 20:00:00;27.434
237;237;-42.75;-14.25;2017-01-10 21:00:00;26.834
238;238;-42.75;-14.25;2017-01-10 22:00:00;25.834
239;239;-42.75;-14.25;2017-01-10 23:00:00;23.534
240;240;-42.75;-14.25;2017-01-11 00:00:00;22.35
241;241;-42.75;-14.25;2017-01-11 01:00:00;20.716
242;242;-42.75;-14.25;2017-01-11 02:00:00;19.433
243;243;-42.75;-14.25;2017-01-11 03:00:00;18.483
244;244;-42.75;-14.25;2017-01-11 04:00:00;17.85
245;245;-42.75;-14.25;2017-01-11 05:00:00;17.467
246;246;-42.75;-14.25;2017-01-11 06:00:00;17.25
247;247;-42.75;-14.25;2017-01-11 07:00:00;17.5
248;248;-42.75;-14.25;2017-01-11 08:00:00;18.566
249;249;-42.75;-14.25;2017-01-11 09:00:00;21.767
250;250;-42.75;-14.25;2017-01-11 10:00:00;23.6
251;251;-42.75;-14.25;2017-01-11 11:00:00;24.667
252;252;-42.75;-14.25;2017-01-11 12:00:00;25.334
253;253;-42.75;-14.25;2017-01-11 13:00:00;26.966
254;254;-42.75;-14.25;2017-01-11 14:00:00;27.3
255;255;-42.75;-14.25;2017-01-11 15:00:00;27.45
256;256;-42.75;-14.25;2017-01-11 16:00:00;28.15
257;257;-42.75;-14.25;2017-01-11 17:00:00;27.6
258;258;-42.75;-14.25;2017-01-11 18:00:00;26.95
259;259;-42.75;-14.25;2017-01-11 19:00:00;26.617
260;260;-42.75;-14.25;2017-01-11 20:00:00;26.283
261;261;-42.75;-14.25;2017-01-11 21:00:00;25.867
262;262;-42.75;-14.25;2017-01-11 22:00:00;21.2
263;263;-42.75;-14.25;2017-01-11 23:00:00;21.484
264;264;-42.75;-14.25;2017-01-12 00:00:00;21.35
265;265;-42.75;-14.25;2017-01-12 01:00:00;21.366
266;266;-42.75;-14.25;2017-01-12 02:00:00;21.416
267;267;-42.75;-14.25;2017-01-12 03:00:00;21.216
268;268;-42.75;-14.25;2017-01-12 04:00:00;21.0
269;269;-42.75;-14.25;2017-01-12 05:00:00;20.567
270;270;-42.75;-14.25;2017-01-12 06:00:00;20.766
271;271;-42.75;-14.25;2017-01-12 07:00:00;22.084
272;272;-42.75;-14.25;2017-01-12 08:00:00;22.7
273;273;-42.75;-14.25;2017-01-12 09:00:00;23.166
274;274;-42.75;-14.25;2017-01-12 10:00:00;24.566
275;275;-42.75;-14.25;2017-01-12 11:00:00;24.316
276;276;-42.75;-14.25;2017-01-12 12:00:00;25.1
277;277;-42.75;-14.25;2017-01-12 13:00:00;26.15
278;278;-42.75;-14.25;2017-01-12 14:00:00;27.284
279;279;-42.75;-14.25;2017-01-12 15:00:00;27.35
280;280;-42.75;-14.25;2017-01-12 16:00:00;27.166
281;281;-42.75;-14.25;2017-01-12 17:00:00;26.633
282;282;-42.75;-14.25;2017-01-12 18:00:00;26.25
283;283;-42.75;-14.25;2017-01-12 19:00:00;26.383
284;284;-42.75;-14.25;2017-01-12 20:00:00;25.466
285;285;-42.75;-14.25;2017-01-12 21:00:00;22.133
286;286;-42.75;-14.25;2017-01-12 22:00:00;21.55
287;287;-42.75;-14.25;2017-01-12 23:00:00;22.484
288;288;-42.75;-14.25;2017-01-13 00:00:00;22.65
289;289;-42.75;-14.25;2017-01-13 01:00:00;22.0
290;290;-42.75;-14.25;2017-01-13 02:00:00;21.6
291;291;-42.75;-14.25;2017-01-13 03:00:00;20.6
292;292;-42.75;-14.25;2017-01-13 04:00:00;19.966
293;293;-42.75;-14.25;2017-01-13 05:00:00;18.916
294;294;-42.75;-14.25;2017-01-13 06:00:00;18.466
295;295;-42.75;-14.25;2017-01-13 07:00:00;18.4
296;296;-42.75;-14.25;2017-01-13 08:00:00;18.666
297;297;-42.75;-14.25;2017-01-13 09:00:00;20.0
298;298;-42.75;-14.25;2017-01-13 10:00:00;21.216
299;299;-42.75;-14.25;2017-01-13 11:00:00;22.6
300;300;-42.75;-14.25;2017-01-13 12:00:00;24.2
301;301;-42.75;-14.25;2017-01-13 13:00:00;25.15
302;302;-42.75;-14.25;2017-01-13 14:00:00;23.266
303;303;-42.75;-14.25;2017-01-13 15:00:00;21.466
304;304;-42.75;-14.25;2017-01-13 16:00:00;21.567
305;305;-42.75;-14.25;2017-01-13 17:00:00;21.684
306;306;-42.75;-14.25;2017-01-13 18:00:00;21.5
307;307;-42.75;-14.25;2017-01-13 19:00:00;21.883
308;308;-42.75;-14.25;2017-01-13 20:00:00;22.117
309;309;-42.75;-14.25;2017-01-13 21:00:00;22.15
310;310;-42.75;-14.25;2017-01-13 22:00:00;21.883
311;311;-42.75;-14.25;2017-01-13 23:00:00;21.133
312;312;-42.75;-14.25;2017-01-14 00:00:00;20.417
313;313;-42.75;-14.25;2017-01-14 01:00:00;19.7
314;314;-42.75;-14.25;2017-01-14 02:00:00;18.916
315;315;-42.75;-14.25;2017-01-14 03:00:00;18.166
316;316;-42.75;-14.25;2017-01-14 04:00:00;17.866
317;317;-42.75;-14.25;2017-01-14 05:00:00;17.716
318;318;-42.75;-14.25;2017-01-14 06:00:00;17.517
319;319;-42.75;-14.25;2017-01-14 07:00:00;17.367
320;320;-42.75;-14.25;2017-01-14 08:00:00;17.484
321;321;-42.75;-14.25;2017-01-14 09:00:00;18.5
322;322;-42.75;-14.25;2017-01-14 10:00:00;21.15
323;323;-42.75;-14.25;2017-01-14 11:00:00;22.616
324;324;-42.75;-14.25;2017-01-14 12:00:00;24.3
325;325;-42.75;-14.25;2017-01-14 13:00:00;25.184
326;326;-42.75;-14.25;2017-01-14 14:00:00;25.4
327;327;-42.75;-14.25;2017-01-14 15:00:00;24.216
328;328;-42.75;-14.25;2017-01-14 16:00:00;22.666
329;329;-42.75;-14.25;2017-01-14 17:00:00;22.8
330;330;-42.75;-14.25;2017-01-14 18:00:00;21.633
331;331;-42.75;-14.25;2017-01-14 19:00:00;22.45
332;332;-42.75;-14.25;2017-01-14 20:00:00;22.516
333;333;-42.75;-14.25;2017-01-14 21:00:00;21.617
334;334;-42.75;-14.25;2017-01-14 22:00:00;21.734
335;335;-42.75;-14.25;2017-01-14 23:00:00;21.3
336;336;-42.75;-14.25;2017-01-15 00:00:00;20.817
337;337;-42.75;-14.25;2017-01-15 01:00:00;19.75
338;338;-42.75;-14.25;2017-01-15 02:00:00;19.834
339;339;-42.75;-14.25;2017-01-15 03:00:00;18.984
340;340;-42.75;-14.25;2017-01-15 04:00:00;18.816
341;341;-42.75;-14.25;2017-01-15 05:00:00;18.65
342;342;-42.75;-14.25;2017-01-15 06:00:00;18.516
343;343;-42.75;-14.25;2017-01-15 07:00:00;18.7
344;344;-42.75;-14.25;2017-01-15 08:00:00;19.734
345;345;-42.75;-14.25;2017-01-15 09:00:00;21.367
346;346;-42.75;-14.25;2017-01-15 10:00:00;22.283
347;347;-42.75;-14.25;2017-01-15 11:00:00;23.484
348;348;-42.75;-14.25;2017-01-15 12:00:00;24.25
349;349;-42.75;-14.25;2017-01-15 13:00:00;24.183
350;350;-42.75;-14.25;2017-01-15 14:00:00;25.2
351;351;-42.75;-14.25;2017-01-15 15:00:00;25.617
352;352;-42.75;-14.25;2017-01-15 16:00:00;26.0
353;353;-42.75;-14.25;2017-01-15 17:00:00;26.117
354;354;-42.75;-14.25;2017-01-15 18:00:00;24.25
355;355;-42.75;-14.25;2017-01-15 19:00:00;25.167
356;356;-42.75;-14.25;2017-01-15 20:00:00;23.567
357;357;-42.75;-14.25;2017-01-15 21:00:00;21.784
358;358;-42.75;-14.25;2017-01-15 22:00:00;21.284
359;359;-42.75;-14.25;2017-01-15 23:00:00;21.034
360;360;-42.75;-14.25;2017-01-16 00:00:00;20.284
361;361;-42.75;-14.25;2017-01-16 01:00:00;19.333
362;362;-42.75;-14.25;2017-01-16 02:00:00;18.566
363;363;-42.75;-14.25;2017-01-16 03:00:00;18.15
364;364;-42.75;-14.25;2017-01-16 04:00:00;17.566
365;365;-42.75;-14.25;2017-01-16 05:00:00;16.8
366;366;-42.75;-14.25;2017-01-16 06:00:00;16.366
367;367;-42.75;-14.25;2017-01-16 07:00:00;16.916
368;368;-42.75;-14.25;2017-01-16 08:00:00;18.4
369;369;-42.75;-14.25;2017-01-16 09:00:00;19.583
370;370;-42.75;-14.25;2017-01-16 10:00:00;20.633
371;371;-42.75;-14.25;2017-01-16 11:00:00;21.75
372;372;-42.75;-14.25;2017-01-16 12:00:00;23.0
373;373;-42.75;-14.25;2017-01-16 13:00:00;24.083
374;374;-42.75;-14.25;2017-01-16 14:00:00;25.15
375;375;-42.75;-14.25;2017-01-16 15:00:00;25.7
376;376;-42.75;-14.25;2017-01-16 16:00:00;25.734
377;377;-42.75;-14.25;2017-01-16 17:00:00;25.7
378;378;-42.75;-14.25;2017-01-16 18:00:00;25.216
379;379;-42.75;-14.25;2017-01-16 19:00:00;24.816
380;380;-42.75;-14.25;2017-01-16 20:00:00;24.117
381;381;-42.75;-14.25;2017-01-16 21:00:00;23.1
382;382;-42.75;-14.25;2017-01-16 22:00:00;22.484
383;383;-42.75;-14.25;2017-01-16 23:00:00;21.117
384;384;-42.75;-14.25;2017-01-17 00:00:00;19.766
385;385;-42.75;-14.25;2017-01-17 01:00:00;18.7
386;386;-42.75;-14.25;2017-01-17 02:00:00;17.784
387;387;-42.75;-14.25;2017-01-17 03:00:00;16.766
388;388;-42.75;-14.25;2017-01-17 04:00:00;16.15
389;389;-42.75;-14.25;2017-01-17 05:00:00;15.583
390;390;-42.75;-14.25;2017-01-17 06:00:00;15.183
391;391;-42.75;-14.25;2017-01-17 07:00:00;15.916
392;392;-42.75;-14.25;2017-01-17 08:00:00;17.067
393;393;-42.75;-14.25;2017-01-17 09:00:00;18.65
394;394;-42.75;-14.25;2017-01-17 10:00:00;20.367
395;395;-42.75;-14.25;2017-01-17 11:00:00;22.2
396;396;-42.75;-14.25;2017-01-17 12:00:00;23.65
397;397;-42.75;-14.25;2017-01-17 13:00:00;25.117
398;398;-42.75;-14.25;2017-01-17 14:00:00;26.25
399;399;-42.75;-14.25;2017-01-17 15:00:00;27.0
400;400;-42.75;-14.25;2017-01-17 16:00:00;27.534
401;401;-42.75;-14.25;2017-01-17 17:00:00;27.166
402;402;-42.75;-14.25;2017-01-17 18:00:00;25.95
403;403;-42.75;-14.25;2017-01-17 19:00:00;25.434
404;404;-42.75;-14.25;2017-01-17 20:00:00;25.333
405;405;-42.75;-14.25;2017-01-17 21:00:00;23.784
406;406;-42.75;-14.25;2017-01-17 22:00:00;22.617
407;407;-42.75;-14.25;2017-01-17 23:00:00;20.967
408;408;-42.75;-14.25;2017-01-18 00:00:00;19.434
409;409;-42.75;-14.25;2017-01-18 01:00:00;18.066
410;410;-42.75;-14.25;2017-01-18 02:00:00;17.3
411;411;-42.75;-14.25;2017-01-18 03:00:00;16.7
412;412;-42.75;-14.25;2017-01-18 04:00:00;16.15
413;413;-42.75;-14.25;2017-01-18 05:00:00;15.667
414;414;-42.75;-14.25;2017-01-18 06:00:00;15.433
415;415;-42.75;-14.25;2017-01-18 07:00:00;16.383
416;416;-42.75;-14.25;2017-01-18 08:00:00;17.25
417;417;-42.75;-14.25;2017-01-18 09:00:00;18.233
418;418;-42.75;-14.25;2017-01-18 10:00:00;20.016
419;419;-42.75;-14.25;2017-01-18 11:00:00;21.834
420;420;-42.75;-14.25;2017-01-18 12:00:00;23.367
421;421;-42.75;-14.25;2017-01-18 13:00:00;24.934
422;422;-42.75;-14.25;2017-01-18 14:00:00;25.916
423;423;-42.75;-14.25;2017-01-18 15:00:00;26.867
424;424;-42.75;-14.25;2017-01-18 16:00:00;27.383
425;425;-42.75;-14.25;2017-01-18 17:00:00;27.066
426;426;-42.75;-14.25;2017-01-18 18:00:00;26.35
427;427;-42.75;-14.25;2017-01-18 19:00:00;26.066
428;428;-42.75;-14.25;2017-01-18 20:00:00;25.684
429;429;-42.75;-14.25;2017-01-18 21:00:00;25.633
430;430;-42.75;-14.25;2017-01-18 22:00:00;25.467
431;431;-42.75;-14.25;2017-01-18 23:00:00;24.7
432;432;-42.75;-14.25;2017-01-19 00:00:00;21.734
433;433;-42.75;-14.25;2017-01-19 01:00:00;19.883
434;434;-42.75;-14.25;2017-01-19 02:00:00;18.684
435;435;-42.75;-14.25;2017-01-19 03:00:00;17.7
436;436;-42.75;-14.25;2017-01-19 04:00:00;16.816
437;437;-42.75;-14.25;2017-01-19 05:00:00;16.25
438;438;-42.75;-14.25;2017-01-19 06:00:00;16.134
439;439;-42.75;-14.25;2017-01-19 07:00:00;16.9
440;440;-42.75;-14.25;2017-01-19 08:00:00;17.866
441;441;-42.75;-14.25;2017-01-19 09:00:00;19.65
442;442;-42.75;-14.25;2017-01-19 10:00:00;21.45
443;443;-42.75;-14.25;2017-01-19 11:00:00;23.216
444;444;-42.75;-14.25;2017-01-19 12:00:00;24.517
445;445;-42.75;-14.25;2017-01-19 13:00:00;25.983
446;446;-42.75;-14.25;2017-01-19 14:00:00;26.783
447;447;-42.75;-14.25;2017-01-19 15:00:00;26.983
448;448;-42.75;-14.25;2017-01-19 16:00:00;27.45
449;449;-42.75;-14.25;2017-01-19 17:00:00;27.15
